Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P1,F68,Southwest,JFK,ATL,2024-03-27 06:22:06,161,On-time,803,148.42,47,Male,Medium,Emergency,Business,2,Platinum,Online,8.801355814918919,0.0,91,1,1,Window,102
P2,F1687,Southwest,JFK,DFW,2024-12-28 09:18:06,130,On-time,1605,228.57,30,Female,Low,Family,Business,1,Gold,Airport Kiosk,9.094379534754731,2.0,45,0,0,Middle,51
P3,F1745,United,ORD,ORD,2024-05-23 23:28:20,169,On-time,908,232.45,46,Male,Low,Business,Economy,0,Silver,Airport Kiosk,8.015234663890727,0.0,63,0,0,Middle,92
P4,F1514,Delta,SEA,ORD,2023-10-31 08:09:27,227,On-time,63,526.43,75,Female,Medium,Leisure,Business,0,Platinum,Online,7.544132605990195,9.0,57,0,1,Window,14
P5,F1753,Southwest,LAX,JFK,2025-01-17 22:21:13,150,On-time,628,324.14,23,Male,High,Family,Economy,2,Silver,Desk,7.133139948212132,3.0,58,0,0,Middle,106
P7,F532,Delta,ATL,SEA,2024-10-30 14:20:06,170,On-time,794,356.89,69,Female,Low,Emergency,Economy,0,Silver,Mobile App,7.404526182726858,17.0,37,0,0,Window,60
P9,F16,American Airlines,ATL,SEA,2023-11-16 00:44:10,191,On-time,1196,201.48,50,Female,Medium,Emergency,Economy,0,Gold,Online,6.293315475413298,16.0,57,0,0,Window,102
P10,F473,United,DEN,JFK,2025-04-18 01:27:34,201,On-time,1115,444.95,60,Female,Medium,Emergency,Economy,1,Platinum,Airport Kiosk,8.642996783899692,1.0,116,0,1,Aisle,82
P12,F170,JetBlue,DFW,ATL,2023-06-20 14:41:24,101,On-time,1148,338.0,39,Male,Medium,Business,Premium Economy,1,Gold,Online,7.938701717800883,7.0,9,0,0,Middle,74
P14,F1788,United,DEN,JFK,2024-09-18 07:37:18,237,On-time,1544,276.14,38,Female,Low,Business,Economy,0,Silver,Desk,8.371072668777257,3.0,13,0,0,Window,87
P15,F377,Southwest,JFK,DEN,2024-05-13 12:05:04,188,On-time,596,359.22,20,Male,Low,Business,Business,0,Gold,Desk,9.69619051802221,8.0,87,0,0,Window,116
P19,F478,JetBlue,DFW,SFO,2024-01-26 01:03:40,167,Delayed,1240,215.42,64,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,5.900382691374292,4.0,88,0,0,Aisle,2
P20,F362,JetBlue,ATL,JFK,2024-09-19 00:55:28,83,On-time,1387,496.54,20,Male,Medium,Leisure,Economy,0,Platinum,Mobile App,6.938866542082612,2.0,24,0,0,Aisle,21
P22,F39,Delta,ORD,DEN,2023-08-24 21:38:28,229,On-time,1278,271.2,29,Male,Medium,Family,Economy,1,Gold,Airport Kiosk,7.494365977042772,9.0,52,1,1,Window,1
P24,F290,JetBlue,LAX,SEA,2023-05-25 00:18:47,256,Cancelled,1328,192.0,60,Female,Low,Leisure,Economy,2,Gold,Online,6.859631645699962,16.0,66,0,0,Window,107
P27,F47,Delta,ATL,LAX,2025-02-06 21:23:06,117,On-time,1059,333.59,51,Male,Low,Leisure,Premium Economy,0,Gold,Online,6.932334127096246,14.0,70,0,0,Window,1
P29,F427,American Airlines,SFO,DFW,2025-01-13 20:17:55,192,On-time,1096,219.61,54,Male,Medium,Emergency,Economy,1,Gold,Desk,6.388473403962688,2.0,64,0,1,Aisle,59
P32,F127,JetBlue,DEN,JFK,2024-03-20 19:22:08,224,On-time,875,325.89,49,Male,Medium,Business,Economy,1,Platinum,Online,6.961642355859321,2.0,63,0,0,Window,75
P33,F602,United,SFO,LAX,2024-09-19 07:53:40,241,Delayed,1188,416.78,37,Male,High,Leisure,Economy,1,Silver,Airport Kiosk,7.330508952211416,0.0,109,0,0,Window,57
P36,F215,Delta,LAX,DFW,2024-01-30 02:16:49,218,On-time,2558,430.53,31,Female,High,Family,Economy,1,Silver,Airport Kiosk,7.884109847068589,7.0,90,0,0,Middle,88
P37,F1221,American Airlines,DFW,JFK,2023-08-18 11:53:56,262,Cancelled,1198,284.82,70,Female,Low,Emergency,Economy,0,Gold,Airport Kiosk,7.124419809842203,8.0,43,0,0,Middle,48
P38,F117,American Airlines,DFW,SFO,2023-08-14 12:46:20,187,On-time,986,292.8,69,Male,High,Leisure,Economy,1,Silver,Mobile App,7.457804582612883,16.0,34,0,0,Middle,90
P39,F807,JetBlue,ATL,LAX,2024-06-25 08:10:02,291,On-time,1030,497.05,60,Female,Medium,Leisure,Economy,0,Silver,Mobile App,7.091034032843199,3.0,63,0,0,Window,58
P40,F657,Delta,ATL,LAX,2024-10-16 09:50:05,92,On-time,1231,325.8,44,Male,Medium,Emergency,Economy,2,Silver,Mobile App,6.670745660108558,0.0,79,0,0,Aisle,41
P44,F229,American Airlines,SFO,SEA,2023-12-13 06:55:30,218,On-time,1241,466.83,42,Female,Medium,Emergency,Business,1,Silver,Mobile App,8.628542675145846,14.0,88,0,0,Middle,14
P46,F1759,JetBlue,LAX,ORD,2023-08-28 02:18:07,165,On-time,1479,352.61,30,Male,Low,Leisure,Economy,1,Silver,Mobile App,7.301156663291552,9.0,12,0,0,Middle,61
P48,F121,Southwest,DEN,SFO,2025-01-16 00:19:18,261,Delayed,1301,449.12,38,Male,High,Family,Economy,0,Gold,Airport Kiosk,7.209823707052524,6.0,115,0,0,Middle,61
P51,F362,American Airlines,SEA,DFW,2023-11-12 21:50:20,186,On-time,1212,375.59,39,Female,Medium,Business,Economy,2,Platinum,Online,7.427092877165459,13.0,6,0,0,Window,54
P55,F1222,Southwest,DFW,SFO,2024-05-16 12:49:40,59,Delayed,898,477.94,54,Female,Low,Emergency,Economy,1,Platinum,Airport Kiosk,6.629082975143351,18.0,18,0,1,Window,2
P57,F1982,United,ORD,ATL,2023-06-28 10:28:56,115,On-time,1188,234.94,41,Male,Low,Leisure,Economy,1,Gold,Online,6.830891012356982,12.0,42,0,0,Window,50
P58,F1995,United,ATL,DEN,2024-09-10 08:04:30,261,On-time,1143,429.73,79,Female,Low,Leisure,Economy,3,Gold,Online,6.098381317944463,3.0,97,0,0,Middle,6
P64,F444,United,ATL,LAX,2023-11-13 03:11:59,275,On-time,1242,456.75,24,Female,Low,Business,Premium Economy,2,Gold,Mobile App,8.110558771494754,1.0,95,0,0,Middle,88
P66,F109,Southwest,LAX,JFK,2024-02-19 18:47:19,148,On-time,1452,366.41,76,Male,Medium,Business,Economy,1,Silver,Desk,6.437887431817923,22.0,79,0,0,Window,13
P68,F1668,Southwest,LAX,DEN,2023-06-01 07:19:07,147,On-time,1589,234.32,54,Male,Medium,Business,Premium Economy,3,Silver,Online,7.598127204523381,6.0,99,0,0,Window,8
P70,F1731,American Airlines,SEA,DFW,2023-09-30 21:20:58,274,Delayed,1483,179.04,29,Female,Low,Family,Economy,0,Gold,Desk,7.937925459537985,5.0,58,0,1,Aisle,52
P71,F1956,Southwest,SEA,DFW,2023-12-19 05:14:06,182,Delayed,1298,358.52,62,Male,Medium,Emergency,Economy,3,Platinum,Online,7.21812874507512,8.0,51,0,0,Middle,1
P73,F1648,Delta,DEN,ATL,2024-04-14 18:13:16,205,On-time,1572,382.08,42,Male,Low,Leisure,Economy,1,Silver,Mobile App,8.132216903162963,11.0,66,0,0,Window,91
P74,F771,Delta,DFW,DFW,2024-11-13 20:10:16,282,On-time,1074,353.37,64,Female,Medium,Family,Economy,0,Platinum,Online,8.021697678587671,7.0,116,0,0,Window,110
P76,F1892,JetBlue,ATL,DEN,2023-08-26 15:03:45,174,On-time,1263,273.51,22,Male,Low,Business,Premium Economy,0,Gold,Online,8.266940288674467,0.0,51,0,0,Middle,70
P78,F1272,Southwest,ORD,DEN,2025-03-14 20:19:08,176,On-time,859,438.25,27,Female,Medium,Emergency,Economy,1,Silver,Mobile App,6.35132657780758,8.0,32,0,0,Aisle,7
P79,F1993,American Airlines,ATL,ORD,2024-05-06 07:46:24,173,On-time,950,339.86,27,Female,Medium,Leisure,Economy,1,Silver,Mobile App,6.482418166954274,11.0,19,0,0,Window,46
P80,F1742,Southwest,JFK,SEA,2023-12-20 12:20:07,153,On-time,1061,440.78,59,Male,Low,Business,Economy,4,Gold,Online,7.084469802577031,3.0,9,0,1,Middle,34
P81,F1367,Delta,LAX,DEN,2024-06-25 04:17:15,167,On-time,1178,273.8,25,Female,Low,Emergency,Business,0,Gold,Online,8.052804535546333,24.0,21,0,0,Middle,77
P82,F740,American Airlines,DEN,DEN,2024-04-12 04:12:50,201,On-time,1042,538.42,51,Female,High,Leisure,Premium Economy,0,Platinum,Desk,8.40813891833299,22.0,64,0,1,Middle,80
P83,F36,United,DFW,DFW,2024-12-01 06:57:06,193,On-time,1434,316.76,48,Male,Medium,Family,Economy,0,Gold,Desk,6.7445373245701195,4.0,14,0,0,Middle,35
P86,F660,Delta,ATL,DFW,2024-11-01 18:01:48,172,On-time,749,451.07,30,Male,Low,Family,Economy,2,Silver,Airport Kiosk,6.489436894343303,4.0,69,0,0,Middle,3
P89,F495,American Airlines,JFK,DEN,2023-06-21 13:52:16,145,Delayed,1093,409.72,20,Male,High,Family,Economy,1,Gold,Airport Kiosk,8.14168931189527,5.0,22,0,0,Aisle,53
P91,F60,Southwest,ORD,SFO,2024-06-10 10:46:31,160,Cancelled,1101,286.77,40,Female,Medium,Emergency,Economy,2,Platinum,Mobile App,6.367327943967874,4.0,99,0,1,Aisle,3
P92,F1659,Southwest,DFW,DFW,2023-12-17 10:50:47,121,On-time,836,457.72,37,Female,Low,Business,Economy,1,Gold,Mobile App,7.216697209786226,1.0,29,0,0,Aisle,53
P95,F159,Delta,ORD,SEA,2024-05-12 05:39:11,250,Delayed,1436,258.18,62,Male,Low,Leisure,Economy,0,Silver,Online,6.216022624784156,2.0,101,0,0,Middle,17
P97,F1829,Southwest,LAX,DEN,2023-10-11 22:09:48,111,Delayed,921,400.97,36,Female,Medium,Emergency,Economy,1,Gold,Mobile App,6.618038860055713,23.0,21,0,0,Middle,43
